product_id,product_brand,product_name,product_sku,product_retail_price,product_cost,product_weight,recyclable,low_fat
1,Ecoharvest,Ecoharvest Extra Crunchy Lotion,E-00001-X,10.53,4.52,1.07,No,No
2,Bluepeak,Bluepeak Fresh Bread,B-00002-M,2.71,2.42,0.83,Yes,No
3,Crystal Springs,Crystal Springs Jumbo Sausage,CS-00003-V,10.13,5.75,1.38,Yes,No
4,Natures Best,Natures Best Organic Yogurt,NB-00004-N,3.56,2.39,1.53,Yes,No
5,Silver Creek,Silver Creek Reduced Fat Shampoo,SC-00005-Q,9.61,4.04,0.2,Yes,No
6,Crystal Springs,Crystal Springs Classic Trash Bags,CS-00006-W,6.59,4.26,3.17,Yes,No
7,Truetaste,Truetaste Extra Crunchy Coffee,T-00007-R,7.1,3.38,0.65,Yes,No
8,Coastal Fresh,Coastal Fresh Family Size Crackers,CF-00008-V,2.83,1.96,0.68,No,No
9,Heritage Foods,Heritage Foods Original Shampoo,HF-00009-Y,4.64,2.28,1.17,No,No
10,Truetaste,Truetaste Classic Soda,T-00010-W,5.64,2.23,2.86,No,No
11,Natures Best,Natures Best Classic Lotion,NB-00011-J,4.12,2.78,0.38,No,No
12,Golden Valley,Golden Valley Original Trash Bags,GV-00012-J,5.7,2.47,3.6,Yes,No
13,Farmhouse Select,Farmhouse Select Jumbo Waffles,FS-00013-X,7.26,2.61,0.87,No,No
14,Golden Valley,Golden Valley Mini Cream,GV-00014-N,5.8,2.73,1.34,Yes,No
15,Ecoharvest,Ecoharvest Fresh Ham,E-00015-Q,4.36,5.4,2.99,No,No
16,Prime Select,Prime Select Organic Sour Cream,PS-00016-Q,5.36,2.84,1.34,Yes,Yes
17,Farmhouse Select,Farmhouse Select Deluxe Cheese,FS-00017-C,6.21,3.42,1.04,No,No
18,Meadowbrook,Meadowbrook Jumbo Shampoo,M-00018-N,11.86,7.23,0.63,No,No
19,Meadowbrook,Meadowbrook Extra Crunchy Pretzels,M-00019-T,1.74,0.87,0.96,No,No
20,Natures Best,Natures Best Extra Crunchy Juice,NB-00020-Q,7.8,3.64,1.01,Yes,No
21,Ecoharvest,Ecoharvest Classic Bananas,E-00021-E,3.44,1.34,1.7,No,No
22,Natures Best,Natures Best Classic Bacon,NB-00022-Y,7.19,4.1,1.3,Yes,Yes
23,American Classic,American Classic Extra Crunchy Donuts,AC-00023-T,4.42,1.72,1.26,Yes,No
